"Notes"	"Mother's Bridged Race"	"Mother's Bridged Race Code"	"ICD-10 130 Cause List (Infants)"	"ICD-10 130 Cause List (Infants) Code"	"Age of Mother"	"Age of Mother Code"	"Year of Death"	"Year of Death Code"	"State"	"State Code"	Deaths	Births	Death Rate
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Ohio"	"39"	20	5092	3.97
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Oklahoma"	"40"	10	2054	4.98 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Pennsylvania"	"42"	18	3568	5.05 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Tennessee"	"47"	13	3253	4.00 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Texas"	"48"	22	6116	3.64
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Virginia"	"51"	12	1987	6.09 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Wisconsin"	"55"	11	1481	7.43 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Alabama"	"01"	14	2070	6.76 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Colorado"	"08"	12	1173	10.23 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Florida"	"12"	13	4078	3.19 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Illinois"	"17"	12	2646	4.66 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Indiana"	"18"	12	3352	3.63 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Michigan"	"26"	10	3022	3.32 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Missouri"	"29"	11	2926	3.76 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"New York"	"36"	10	2606	3.89 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Ohio"	"39"	24	5045	4.71
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Oregon"	"41"	11	1234	8.91 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Pennsylvania"	"42"	12	3263	3.70 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Tennessee"	"47"	15	3161	4.75 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Texas"	"48"	24	5918	4.10
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"California"	"06"	11	3025	3.75 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Florida"	"12"	14	3676	3.81 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Indiana"	"18"	22	3043	7.34
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Michigan"	"26"	10	2734	3.68 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Ohio"	"39"	17	4405	3.92 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Tennessee"	"47"	13	2869	4.53 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Texas"	"48"	18	5297	3.35 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Indiana"	"18"	16	2804	5.76 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Missouri"	"29"	10	2375	4.22 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"New York"	"36"	13	2243	5.85 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"North Carolina"	"37"	11	2397	4.61 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Ohio"	"39"	16	4004	4.07 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Pennsylvania"	"42"	16	2702	5.92 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Texas"	"48"	15	4678	3.18 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Florida"	"12"	10	3113	3.23 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Indiana"	"18"	11	2594	4.29 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Michigan"	"26"	11	2313	4.76 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Ohio"	"39"	19	3622	5.33 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Oklahoma"	"40"	10	1590	6.34 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Pennsylvania"	"42"	11	2490	4.46 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Tennessee"	"47"	14	2508	5.59 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Florida"	"12"	10	2686	3.72 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Indiana"	"18"	12	2391	5.07 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Kentucky"	"21"	16	2322	6.98 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Missouri"	"29"	11	2040	5.40 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Ohio"	"39"	22	3373	6.64
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Pennsylvania"	"42"	17	2216	7.71 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Texas"	"48"	17	4198	4.03 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2014"	"2014"	"Michigan"	"26"	10	1916	5.22 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2014"	"2014"	"Texas"	"48"	10	3754	2.71 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2015"	"2015"	"Indiana"	"18"	11	1977	5.63 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2015"	"2015"	"Ohio"	"39"	17	2895	5.91 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2016"	"2016"	"Indiana"	"18"	10	1835	5.48 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2016"	"2016"	"Ohio"	"39"	13	2542	5.13 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2017"	"2017"	"Indiana"	"18"	10	1645	6.11 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2017"	"2017"	"Ohio"	"39"	16	2394	6.68 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2017"	"2017"	"Texas"	"48"	12	2813	4.34 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2018"	"2018"	"Michigan"	"26"	11	1333	8.27 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2018"	"2018"	"Ohio"	"39"	16	2272	7.06 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2019"	"2019"	"Georgia"	"13"	11	1254	8.79 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Alabama"	"01"	24	5621	4.27
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Arizona"	"04"	20	5048	4.04
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Arkansas"	"05"	14	4687	3.01 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"California"	"06"	29	14204	2.02
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Colorado"	"08"	13	4157	3.13 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Florida"	"12"	29	13536	2.14
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Georgia"	"13"	29	8649	3.38
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Idaho"	"16"	11	3153	3.49 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Illinois"	"17"	35	8811	3.92
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Indiana"	"18"	28	9996	2.82
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Iowa"	"19"	13	4484	2.92 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Kansas"	"20"	17	4258	3.99 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Kentucky"	"21"	16	7618	2.12 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Michigan"	"26"	39	10007	3.92
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Minnesota"	"27"	16	5309	3.01 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Missouri"	"29"	29	8779	3.33
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"New York"	"36"	40	10984	3.63
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"North Carolina"	"37"	27	8753	3.10
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Ohio"	"39"	48	14690	3.26
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Oklahoma"	"40"	21	5631	3.65
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Oregon"	"41"	10	4260	2.35 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Pennsylvania"	"42"	35	11357	3.10
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"South Carolina"	"45"	14	4534	3.09 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Tennessee"	"47"	30	8591	3.50
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Texas"	"48"	30	18000	1.69
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Virginia"	"51"	21	6698	3.15
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Wisconsin"	"55"	17	5892	2.89 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Alabama"	"01"	17	5560	3.06 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Arizona"	"04"	10	5072	2.02 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"California"	"06"	29	13250	2.18
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Colorado"	"08"	10	4127	2.42 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Florida"	"12"	36	13059	2.76
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Georgia"	"13"	19	7910	2.43 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Illinois"	"17"	19	8476	2.27 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Indiana"	"18"	25	9563	2.62
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Kansas"	"20"	14	4161	3.36 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Kentucky"	"21"	20	7336	2.75
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Louisiana"	"22"	11	5067	2.10 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Massachusetts"	"25"	11	3539	3.12 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Michigan"	"26"	29	9835	2.96
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Minnesota"	"27"	16	4911	3.26 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Missouri"	"29"	24	8382	2.89
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"New York"	"36"	25	10684	2.35
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"North Carolina"	"37"	30	8558	3.51
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Ohio"	"39"	50	14600	3.40
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Pennsylvania"	"42"	35	11066	3.17
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Tennessee"	"47"	17	8343	2.04 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Texas"	"48"	22	17092	1.31
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Virginia"	"51"	16	6573	2.46 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Washington"	"53"	13	6719	1.93 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Wisconsin"	"55"	16	5757	2.78 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Arkansas"	"05"	13	4508	2.88 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"California"	"06"	27	12661	2.13
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Florida"	"12"	18	12164	1.48 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Georgia"	"13"	24	7788	3.09
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Illinois"	"17"	28	7929	3.49
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Indiana"	"18"	22	9187	2.43
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Kansas"	"20"	15	3886	3.87 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Kentucky"	"21"	16	7322	2.23 (Unreliable)
	"White"	"2106-3"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Louisiana"	"22"	12	4910	2.53 (Unreliable)
