"Notes"	"Mother's Bridged Race"	"Mother's Bridged Race Code"	"ICD-10 130 Cause List (Infants)"	"ICD-10 130 Cause List (Infants) Code"	"Age of Mother"	"Age of Mother Code"	"Year of Death"	"Year of Death Code"	"State"	"State Code"	Deaths	Births	Death Rate
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Michigan"	"26"	16	2179	7.38 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"New York"	"36"	10	2238	4.49 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"North Carolina"	"37"	18	2782	6.48 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Ohio"	"39"	12	2365	5.15 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"South Carolina"	"45"	12	1983	6.05 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Tennessee"	"47"	12	1762	6.82 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Texas"	"48"	18	3715	4.90 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2008"	"2008"	"Virginia"	"51"	16	1767	9.15 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Alabama"	"01"	13	1735	7.49 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Florida"	"12"	22	3710	5.94
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Georgia"	"13"	21	3595	5.86
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Illinois"	"17"	22	2780	7.75
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Louisiana"	"22"	11	2197	5.22 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Michigan"	"26"	14	2207	6.37 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Mississippi"	"28"	15	1970	7.61 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Missouri"	"29"	11	1090	10.09 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"New York"	"36"	14	2108	6.68 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"North Carolina"	"37"	24	2541	9.48
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Ohio"	"39"	17	2251	7.34 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Tennessee"	"47"	10	1564	6.39 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2009"	"2009"	"Texas"	"48"	14	3497	3.91 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Florida"	"12"	20	3268	6.12
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Georgia"	"13"	14	3160	4.54 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Illinois"	"17"	17	2611	6.61 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Maryland"	"24"	19	1428	13.31 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Michigan"	"26"	13	2085	6.28 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Mississippi"	"28"	11	1708	6.44 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"New York"	"36"	10	1950	5.13 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"North Carolina"	"37"	12	2211	5.44 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Ohio"	"39"	12	1953	6.22 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Tennessee"	"47"	11	1393	7.90 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Texas"	"48"	15	3186	4.57 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2010"	"2010"	"Virginia"	"51"	11	1349	8.19 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Florida"	"12"	19	2927	6.50 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Georgia"	"13"	18	2882	6.28 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Illinois"	"17"	12	2283	5.29 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Louisiana"	"22"	10	1850	5.61 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Michigan"	"26"	16	1819	8.80 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Mississippi"	"28"	12	1504	7.98 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"North Carolina"	"37"	12	1931	6.23 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Ohio"	"39"	12	1798	6.79 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2011"	"2011"	"Pennsylvania"	"42"	14	1582	8.85 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Alabama"	"01"	12	1238	9.69 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Florida"	"12"	13	2649	4.92 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Illinois"	"17"	10	2107	4.76 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Mississippi"	"28"	11	1305	8.43 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"New York"	"36"	14	1619	8.68 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Ohio"	"39"	19	1678	11.52 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"South Carolina"	"45"	11	1260	8.75 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2012"	"2012"	"Texas"	"48"	13	2595	4.87 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"California"	"06"	12	1315	9.32 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Florida"	"12"	12	2228	5.39 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Mississippi"	"28"	10	1157	8.65 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2013"	"2013"	"Ohio"	"39"	11	1463	7.66 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2014"	"2014"	"Florida"	"12"	14	1990	7.04 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2014"	"2014"	"Georgia"	"13"	10	2015	4.98 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2014"	"2014"	"Illinois"	"17"	12	1676	7.17 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2014"	"2014"	"North Carolina"	"37"	10	1328	7.53 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2014"	"2014"	"Ohio"	"39"	11	1299	8.53 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2014"	"2014"	"Texas"	"48"	13	2264	5.86 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2015"	"2015"	"Florida"	"12"	12	1864	6.44 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2015"	"2015"	"Georgia"	"13"	13	1880	6.91 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2016"	"2016"	"Florida"	"12"	13	1713	7.59 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2016"	"2016"	"Georgia"	"13"	14	1720	8.20 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2017"	"2017"	"North Carolina"	"37"	14	1154	12.13 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"15-19 years"	"15-19"	"2018"	"2018"	"Georgia"	"13"	10	1564	6.44 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Alabama"	"01"	23	3513	6.55
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"California"	"06"	27	4593	5.96
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Florida"	"12"	40	8155	4.90
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Georgia"	"13"	32	7727	4.17
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Illinois"	"17"	24	4846	5.03
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Indiana"	"18"	11	1673	6.63 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Louisiana"	"22"	29	4810	5.93
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Maryland"	"24"	17	3327	5.12 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Michigan"	"26"	22	3362	6.57
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Mississippi"	"28"	17	3869	4.39 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Missouri"	"29"	14	2271	6.20 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"New Jersey"	"34"	12	2227	5.46 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"New York"	"36"	29	5280	5.57
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"North Carolina"	"37"	28	4955	5.66
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Ohio"	"39"	28	3985	6.91
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Pennsylvania"	"42"	17	3185	5.36 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"South Carolina"	"45"	19	3539	5.37 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Tennessee"	"47"	21	3056	6.88
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Texas"	"48"	35	7449	4.67
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2007"	"2007"	"Virginia"	"51"	28	3934	7.14
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Alabama"	"01"	24	3518	6.82
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"California"	"06"	21	4667	4.43
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Florida"	"12"	41	7855	5.23
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Georgia"	"13"	38	7383	5.21
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Illinois"	"17"	29	4888	6.03
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Indiana"	"18"	12	1766	6.80 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Louisiana"	"22"	19	4940	3.93 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Maryland"	"24"	22	3374	6.57
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Michigan"	"26"	21	3391	6.22
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Mississippi"	"28"	11	3678	3.00 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Missouri"	"29"	16	2175	7.42 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"New Jersey"	"34"	12	2137	5.70 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"New York"	"36"	20	5025	4.00
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"North Carolina"	"37"	30	5190	5.79
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Ohio"	"39"	33	4021	8.33
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Pennsylvania"	"42"	18	3374	5.34 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"South Carolina"	"45"	18	3561	5.07 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Tennessee"	"47"	24	3114	7.71
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Texas"	"48"	25	7398	3.34
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2008"	"2008"	"Virginia"	"51"	28	3861	7.32
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Alabama"	"01"	22	3440	6.40
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"California"	"06"	17	4487	3.70 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Florida"	"12"	50	7722	6.48
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Georgia"	"13"	39	7023	5.57
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Illinois"	"17"	17	4751	3.68 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Indiana"	"18"	16	1712	9.46 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Louisiana"	"22"	19	4663	4.01 (Unreliable)
	"Black or African American"	"2054-5"	"Certain conditions originating in the perinatal period (P00-P96)"	"GR130-070"	"20-24 years"	"20-24"	"2009"	"2009"	"Maryland"	"24"	21	3225	6.53
